name,location,id,longitude,latitude
协和深圳医院(公交站),"113.923501,22.532414",BV11633646,113.923501,22.532414
深圳市南山区人民医院(公交站),"113.923501,22.532414",BV09450990,113.923501,22.532414
南头火车西站(公交站),"113.908252,22.527275",BV10243938,113.908252,22.527275
深圳市南山区人民医院东(东)(公交站),"113.924805,22.530443",BV09447982,113.924805,22.530443
南山派出所(公交站),"113.923163,22.522771",BV11038950,113.923163,22.522771
深圳市南山区人民医院东(公交站),"113.924805,22.530443",BV09451201,113.924805,22.530443
南头街道办(公交站),"113.917182,22.536317",BV10248623,113.917182,22.536317
鼎太风华(公交站),"113.913981,22.519990",BV10243712,113.913981,22.51999
中油大厦(公交站),"113.922500,22.519939",BV10245308,113.9225,22.519939
荔园大厦(公交站),"113.926376,22.523529",BV10243942,113.926376,22.523529
前海山姆(招呼站)(公交站),"113.907640,22.535126",BV09160291,113.90764,22.535126
南山文体中心(公交站),"113.924434,22.536609",BV10243709,113.924434,22.536609
前海山姆(公交站),"113.907640,22.535126",BV09440074,113.90764,22.535126
南头总站(公交站),"113.914086,22.542838",BV10245434,113.914086,22.542838
中山公园西门(公交站),"113.916769,22.542132",BV10245297,113.916769,22.542132
南山汽车站(公交站),"113.913712,22.541755",BV10245300,113.913712,22.541755
南山汽车总站(公交站),"113.912741,22.541967",BV11626678,113.912741,22.541967
中山公园东门(公交站),"113.923292,22.547822",BV10243553,113.923292,22.547822
中山公园地铁站(公交站),"113.923172,22.547938",BV09145760,113.923172,22.547938
中山公园东门2(公交站),"113.923319,22.548418",BV09342130,113.923319,22.548418
南头古城(公交站),"113.920925,22.540439",BV11633647,113.920925,22.540439
前海东岸花园(公交站),"113.920317,22.552457",BV11252786,113.920317,22.552457
深南北环立交2(公交站),"113.910866,22.551173",BV10790076,113.910866,22.551173
新安古城(公交站),"113.920925,22.540439",BV10244060,113.920925,22.540439
南头古城地铁站1(公交站),"113.921061,22.540430",BV09419583,113.921061,22.54043
南山公安分局2(公交站),"113.923755,22.542838",BV11683037,113.923755,22.542838
玉泉南山路口(公交站),"113.924721,22.546211",BV10382679,113.924721,22.546211
深南北环立交1(公交站),"113.910807,22.551912",BV10789161,113.910807,22.551912
南头古城地铁站2(公交站),"113.921930,22.540383",BV09347540,113.92193,22.540383
南山公安分局1(公交站),"113.923841,22.542021",BV09085576,113.923841,22.542021
南头古城地铁站(公交站),"113.921402,22.540095",BV09419504,113.921402,22.540095
南新深南天桥2(公交站),"113.920245,22.539193",BV10383406,113.920245,22.539193
深南北环立交3(公交站),"113.910686,22.552339",BV10790688,113.910686,22.552339
南头古城地铁站1(公交站),"113.922460,22.540351",BV09345210,113.92246,22.540351
星海名城(公交站),"113.915016,22.538212",BV10244247,113.915016,22.538212
南新深南天桥1(公交站),"113.919979,22.537699",BV10382503,113.919979,22.537699
方鼎华庭(公交站),"113.924647,22.552960",BV10242829,113.924647,22.55296
智恒产业园(公交站),"113.907888,22.551669",BV11694151,113.907888,22.551669
常富楼(公交站),"113.907305,22.551155",BV11124751,113.907305,22.551155
